,Department,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
LIB Public Library,LIB Public Library,89258921.3100001,90502085.52999999,98510205.89000005,123638436.46000011,133517517.18999994,107799294.71999997,116718252.19999987,165647458.6100001,145175819.45000002,186248323.4000001,160781870.13000003,169858655.3800001,177743361.49000007,185421200.0900001,190682479.03999993,198142210.02999997,209700846.60000014,224214850.16999975,241765013.51999995
LLB Law Library,LLB Law Library,273937.61,399431.45,410879.02999999997,471053.11,494605.7100000001,505147.1599999999,478813.18999999994,431694.64999999997,596601.5100000001,610960.7200000001,488514.5999999999,563162.95,587678.29,606639.97,648191.04,1156526.5400000003,1353578.48,1395119.41,1411218.2000000002
MTA Municipal Transprtn Agncy,MTA Municipal Transprtn Agncy,1049439992.8899996,1222127291.8199983,1527525547.8400018,1539305405.560002,1422044183.1200004,1433980569.1500013,1377862035.8400016,1398307991.059999,1604484091.4499986,1668791486.0800016,1577285112.6199985,1767373653.8300028,1962390798.8,2109145234.9899971,2287713095.7200017,2785115829.7900004,2523803288.5600014,2944909821.7800016,3101111709.3599963
MYR Mayor,MYR Mayor,176651340.96000022,151084585.4499997,229728324.18,147058388.2099998,191410260.5,158656413.94999993,114721560.91000003,104520661.30999994,186604707.49999982,280605982.9699999,170303300.07999998,115818356.38000001,158831497.9800001,420836992.35999984,191366266.60000002,221638012.96000004,250217906.10000014,506369910.63,476479961.8099995
PDR Public Defender,PDR Public Defender,11196974.269999998,12990317.68,13400148.849999996,13861798.080000004,14237641.47,16027287.099999998,17787057.43,19729293.510000005,22101994.69,23948520.16999999,23840320.26,24504784.009999998,25266217.29000002,26995387.79,28285548.900000002,28944888.89999999,30681220.87,31969732.949999996,33872597.989999995
POL Police,POL Police,287771647.45000005,317469140.6800002,342384084.65999985,346390817.30999964,362280508.46999985,343369251.4499996,367509553.55999994,404819250.2200004,435203732.7899997,469210705.27999973,479903043.0300004,502619548.8399993,511054535.0799997,539513011.0700003,570621505.5499998,577370790.1900004,591380247.7600003,626633289.9499996,650403966.1999995
PRT Port,PRT Port,90265232.84000006,111259425.65999998,158194654.87000006,124338964.56999998,110498019.7099999,120956209.28,119939939.30999991,125025307.73999998,146747710.60000008,136364502.14,129456037.38999997,176636227.89,145961445.56000006,186726012.48000005,257529518.37000003,178368151.1800003,196561747.43999982,178359279.17000002,203686474.29999983
PUB Public Utilities Bureaus,PUB Public Utilities Bureaus,17918519.799999993,33883801.46999999,49417051.75000002,104833954.44999993,110501121.01999997,94955244.29000005,77460737.63000003,98879085.81999996,166644275.78999996,165850152.34999993,194393289.45999998,305935726.5900002,480169006.40999985,688686394.9800007,633484200.8699998,557377603.6499999,384357865.00999993,236490462.72,162284500.52000016
REC Recreation & Park Commsn,REC Recreation & Park Commsn,133491818.44000003,124996690.82000001,164858651.33000007,118538415.91999991,152772571.6699999,138609118.13000003,236248014.51000014,143334927.3900002,177997074.88000008,213567694.17000002,264034408.52999955,251299126.92999983,204375140.75999966,263135045.86000034,302496055.1,255920535.76999974,267312746.18000013,305131280.7299998,304525899.7300003
REG Elections,REG Elections,3270696.91,7815184.409999999,11482401.67,14988578.330000004,9795015.870000003,16766226.330000002,10513762.609999996,17310012.16,18481459.630000006,33810865.33,18133174.62,11611371.800000003,13275056.359999998,14593447.370000001,10917139.03,13763247.64,11912768.230000004,17258328.27,15631619.139999997
RET Retirement System,RET Retirement System,737923366.2899998,3075318909.9000006,-628781501.3699999,140997007.06999996,1140680608.6099994,1058455423.9599999,1162660197.6899996,1288362615.47,1390999983.7299998,1495456699.7,1588747915.18,1713399100.6100001,1911102391.089999,2068088912.9300015,2197746883.2000003,2314427386.379999,2882180086.6100006,2671520379.0000005,2694187519.350002
RNT Rent Arbitration Board,RNT Rent Arbitration Board,4378541.119999999,6442700.289999998,7077359.17,6421447.009999999,9050633.240000002,8601235.550000004,7521294.789999998,7973966.499999999,8700521.800000003,9391432.779999997,9767913.200000001,9978610.32,9928887.699999997,10205459.82,10274727.65,10566687.48,12350099.42,13036356.809999995,13741390.679999996
SCI Academy Of Sciences,SCI Academy Of Sciences,1735680.3900000004,2076606.0899999999,2120881.8,2235996.05,1953725.9900000002,1856190.9999999998,2940879.3700000006,2975243.9999999995,3610831.8600000003,5421076.679999999,6182119.449999998,5272734.55,5224382.1099999985,5202810.759999999,5182680.42,4432587.930000002,4412867.91,5364721.68,5412714.54
SHF Sheriff,SHF Sheriff,72211913.81999996,88342093.86999996,97992823.02999999,104530847.78000006,113571654.65999998,107918548.61999993,123933262.40999995,132642493.09999998,146390582.39000002,155095980.5600002,132536923.93999997,134646163.78000003,135305741.47000012,134307598.49999988,146682749.60000002,173774555.32000005,182616563.01000002,196109908.0700001,209896599.34999996
TJP Transbay Joint Power Auth,TJP Transbay Joint Power Auth,0.0,0.0,0.0,0.0,270331.86,2275051.8200000003,8822071.7,4809706.720000001,2750342.5700000003,23568.639999999985,104219.7,45412.84,90406.16,26402.66,40520.94,39372.98,68241.09,86546.62,103023.24
TTX Treasurer/Tax Collector,TTX Treasurer/Tax Collector,17282245.779999997,16007181.840000015,24016148.560000025,22346439.020000003,20188499.33999999,22187234.329999994,25073402.239999995,29906544.590000004,29400636.450000007,28221110.399999995,28686203.819999993,31037161.51,29125397.659999974,29943472.500000022,30058889.250000015,35327579.21000001,43238448.00000001,42266984.92999997,44978828.799999975
USD County Education Office,USD County Education Office,104777562.72000001,17082442.259999998,20254469.279999997,20054027.23,24335389.900000002,55961812.69,300979944.34999996,396847039.86999995,475105610.7900001,371164564.92999995,625706306.31,684692916.9300001,543945137.2,726988979.6999999,496340489.37,559248150.08,576128170.8399999,733234371.2199999,778958883.1699998
WAR War Memorial,WAR War Memorial,17064926.48,16623941.309999999,19896000.050000004,17114908.54000001,18386728.069999993,15092270.440000005,19892506.75999999,20320264.580000002,21809238.970000006,23649432.76,24736880.59,23140241.229999986,24711561.730000004,30396444.21,33610050.87,45490763.40999998,122029651.32999994,300109414.56999993,31068697.88999999
WOM Status Of Women,WOM Status Of Women,2416650.51,2792159.2800000003,2699241.6399999997,2632099.4499999997,2835389.9799999995,2960658.54,2686225.2099999995,2998920.71,4242056.280000001,4037162.3500000006,3825505.730000001,3671894.629999999,3852917.9099999997,3734724.130000001,4527856.26,5670539.760000002,6106186.679999999,7317968.970000001,7544308.719999999
WTR Water Enterprise,WTR Water Enterprise,245959483.26999998,296139865.43000007,484679783.8000001,454167965.6700001,393699894.90000033,390493923.71000004,400676948.8600004,749097321.1100007,435811688.15000004,485747220.6899998,761723851.6299999,1594046466.4599986,1635716941.2799997,1925699032.9400053,1185578075.1600006,769637542.6899999,823399366.2300006,866857180.1099995,895380099.6399999
WWE Wastewater Enterprise,WWE Wastewater Enterprise,254144090.0099999,316016580.6600004,347373870.0300002,335968272.5599998,268622575.68000025,275769213.4500001,294507039.93,347986701.7299997,464887957.91999996,429972465.8500004,508756106.09,576433152.12,484216056.5099994,515345481.7100005,890831331.1700002,503360013.4199998,481822415.7299999,732473969.4699991,565401901.5400003
