YEAR,COUNTY,ST_TOTAL,ST_LE_TOTAL,ST_LE_SWORN,ST_LE_NONSWORN,ST_OTH_FUNDED_TOTAL,ST_OTH_FUNDED_SWORN,ST_OTH_FUNDED_NONSWORN,CNTY_TOTAL,CNTY_LE_TOTAL,CNTY_LE_SWORN,CNTY_LE_NONSWORN,CNTY_OTH_FUNDED_TOTAL,CNTY_OTH_FUNDED_SWORN,CNTY_OTH_FUNDED_NONSWORN,SO_FUNDED_TOTAL,SO_FUNDED_SWORN,SO_FUNDED_NONSWORN,PD_FUNDED_TOTAL,PD_FUNDED_SWORN,PD_FUNDED_NONSWORN,CHP_FUNDED_TOTAL,CHP_FUNDED_SWORN,CHP_FUNDED_NONSWORN,Prosecution,DA_Attorneys,DA_Investigators,DA_Clerical,DA_Other,PublicDefense,PD_Attorneys,PD_Investigators,PD_Clerical,PD_Other,ProbationDept,ProbationOfficers,PROB_Other
2005,Alpine County,19,15,12,3, , , ,19,15,12,3, , , ,15,12,3, , , , , , ,2,1,0,1,0, , , , , ,2,1,1
2005,Amador County,157,109,66,43, , , ,157,109,66,43, , , ,83,44,39,26,22,4, , , ,31,9,11,8,3, , , , , ,17,12,5
2005,Butte County,738,496,265,231,24,16,8,738,496,265,231,24,16,8,234,94,140,238,155,83, , , ,92,26,27,31,8, , , , , ,150,50,100
2005,Calaveras County,146,114,67,47, , , ,146,114,67,47, , , ,104,58,46,10,9,1, , , ,16,7,2,5,2, , , , , ,16,12,4
2005,Colusa County,98,78,49,29, , , ,98,78,49,29, , , ,59,32,27,19,17,2, , , ,7,2,2,2,1, , , , , ,13,7,6
2005,Contra Costa County,3242,2527,1757,770,306,205,101,2965,2250,1571,679,29,19,10,1011,684,327,1210,868,342, , , ,197,97,23,55,22,135,87,10,20,18,383,169,214
2005,Del Norte County,112,72,41,31, , , ,112,72,41,31, , , ,60,30,30,12,11,1, , , ,13,5,3,4,1, , , , , ,27,6,21
2005,El Dorado County,641,482,251,231, , , ,641,482,251,231, , , ,393,193,200,89,58,31, , , ,51,18,9,15,9,19,12,2,5,0,89,66,23
2005,Fresno County,3649,2723,1573,1150,38,28,10,3649,2723,1573,1150,38,28,10,1127,475,652,1558,1070,488, , , ,257,111,58,63,25,111,69,12,22,8,558,153,405
2005,Glenn County,119,84,48,36, , , ,119,84,48,36, , , ,61,28,33,23,20,3, , , ,8,3,1,4,0, , , , , ,27,9,18
2005,Humboldt County,575,384,282,102,20,11,9,575,384,282,102,20,11,9,225,176,49,139,95,44, , , ,49,13,8,18,10,30,17,4,9,0,112,81,31
2005,Imperial County,674,453,313,140, , , ,674,453,313,140, , , ,247,163,84,206,150,56, , , ,47,18,10,17,2,24,14,4,6,0,150,60,90
2005,Inyo County,138,87,62,25, , , ,138,87,62,25, , , ,70,51,19,17,11,6, , , ,13,4,3,4,2, , , , , ,38,12,26
